,age,n,recurrence,dist
0,<40,189,0.04478508246046022,beta
1,40-49,576,0.023319388716771118,beta
2,50-59,1093,0.016251892949777497,beta
3,60-69,1138,0.015315117949417478,beta
4,70+,679,0.009211528890780562,beta
