,1-year probability (mu),std
FIGO stage 1,(0.15159376286281837-0j),(0.02625875084777603-0j)
FIGO stage 2,(0.22105577230558518-0j),(0.026530911262587782-0j)
FIGO stage 3,(0.3250374709181285-0j),(0.024560578609880146-0j)
FIGO stage 4,(0.4214764295918423-0j),(0.020506180193247705-0j)
